t,gpu,running,waiting,kv
0.015739943832159042,0.0,0.0,0.0,0.0
0.3448787983506918,100.0,0.0,0.0,0.0
0.6786600667983294,100.0,3.0,5.0,0.08191489361702131
1.0559532549232244,100.0,4.0,4.0,0.08191489361702131
1.3667374476790428,100.0,5.0,3.0,0.10936170212765961
1.7452866658568382,100.0,6.0,2.0,0.1368085106382979
2.0744335893541574,100.0,7.0,1.0,0.16404255319148942
2.407202120870352,100.0,8.0,0.0,0.19148936170212771
2.761469619348645,100.0,8.0,0.0,0.2161702127659575
3.093069838359952,100.0,8.0,0.0,0.2161702127659575
3.4785946384072304,100.0,8.0,0.0,0.21787234042553194
3.8358177542686462,100.0,8.0,0.0,0.13617021276595742
4.210324998944998,0.0,0.0,0.0,0.0
4.552401887252927,0.0,0.0,0.0,0.0
4.878248535096645,0.0,0.0,0.0,0.0
5.2110262252390385,0.0,0.0,0.0,0.0
5.558744454756379,0.0,0.0,0.0,0.0
5.941620023921132,0.0,0.0,0.0,0.0
6.300857666879892,0.0,0.0,0.0,0.0
6.6351880840957165,0.0,0.0,0.0,0.0
6.989625666290522,0.0,0.0,0.0,0.0
7.323136663064361,0.0,0.0,0.0,0.0
7.654894087463617,0.0,0.0,0.0,0.0
8.01494156382978,0.0,0.0,0.0,0.0
8.360022816807032,0.0,0.0,0.0,0.0
8.662878515198827,0.0,0.0,0.0,0.0
8.980177607387304,0.0,0.0,0.0,0.0
9.307395819574594,0.0,0.0,0.0,0.0
9.651563042774796,0.0,0.0,0.0,0.0
9.987710626795888,0.0,0.0,0.0,0.0
10.3115203268826,0.0,0.0,0.0,0.0
10.692227916792035,0.0,0.0,0.0,0.0
11.06893403083086,0.0,0.0,0.0,0.0
11.39893862977624,0.0,0.0,0.0,0.0
11.730687122792006,0.0,0.0,0.0,0.0
12.086475279182196,100.0,2.0,0.0,0.0753191489361702
12.459295522421598,100.0,5.0,1.0,0.18276595744680846
12.788278380408883,100.0,8.0,0.0,0.2904255319148936
13.116547148674726,100.0,8.0,0.0,0.3012765957446808
13.445519514381886,100.0,8.0,0.0,0.3012765957446808
13.830765157938004,100.0,8.0,0.0,0.30297872340425536
14.190277678892016,100.0,6.0,0.0,0.0
14.55210773460567,0.0,0.0,0.0,0.0
14.880178658291698,0.0,0.0,0.0,0.0
15.228909095749259,0.0,0.0,0.0,0.0
15.582205677405,0.0,0.0,0.0,0.0
15.914733447134495,0.0,0.0,0.0,0.0
16.26947310194373,0.0,0.0,0.0,0.0
16.62784601561725,0.0,0.0,0.0,0.0
16.954318510368466,0.0,0.0,0.0,0.0
17.282330103218555,0.0,0.0,0.0,0.0
17.64012474194169,0.0,0.0,0.0,0.0
