T,tau,gpu_util_mean,kv_util_mean,gap_mean,gap_p95,corr,parked_frac
1,0.0,0.8582535885167464,0.41151128646396057,-0.44674230205278587,-0.07432459677419354,0.630912715747366,0.0
4,4.0,0.8456937799043063,0.26623690963111596,-0.5794568702731903,-0.2317270161290323,0.6294294491994913,0.2505288352428874
8,8.0,0.8875598086124402,0.3929860028553789,-0.49457380575706134,-0.2376826612903226,0.6199047592044048,0.4857755019257833
16,8.0,0.9569377990430622,0.6020971021762618,-0.3548406968668004,-0.1961536290322581,0.5906375614059903,0.43076584303484095
