t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
310.0,8,47,0,10,214817,496000,1.0,0.43309879032258064
320.0,8,39,0,14,216782,496000,1.0,0.43706048387096774
330.0,8,25,0,12,156490,496000,1.0,0.3155040322580645
340.0,8,21,0,13,137265,496000,1.0,0.2767439516129032
350.0,8,22,0,10,123097,496000,1.0,0.24817943548387097
360.0,8,20,0,8,97244,496000,1.0,0.19605645161290322
370.0,8,12,0,8,75468,496000,1.0,0.1521532258064516
380.0,8,10,0,3,46089,496000,0.875,0.09292137096774193
390.0,8,11,0,1,45880,496000,1.0,0.0925
400.0,8,9,0,1,27201,496000,1.0,0.054840725806451614
410.0,8,6,0,1,17755,496000,0.75,0.035796370967741936
420.0,8,5,0,0,14708,496000,0.625,0.029653225806451612
430.0,8,11,0,4,30375,496000,1.0,0.06123991935483871
440.0,8,9,0,4,23722,496000,0.875,0.047826612903225804
450.0,8,4,0,4,18777,496000,0.5,0.03785685483870968
460.0,8,5,0,2,21145,496000,0.5,0.042631048387096776
470.0,8,3,0,1,14377,496000,0.375,0.028985887096774195
480.0,8,0,0,1,4253,496000,0.0,0.008574596774193548
490.0,8,0,0,0,0,496000,0.0,0.0
500.0,8,0,0,0,0,496000,0.0,0.0
510.0,8,0,0,0,0,496000,0.0,0.0
520.0,8,5,0,0,19839,496000,0.625,0.03999798387096774
530.0,8,4,0,6,26953,496000,0.375,0.05434072580645161
540.0,8,5,0,4,27956,496000,0.5,0.05636290322580645
550.0,8,5,0,1,25770,496000,0.5,0.05195564516129032
560.0,8,11,0,1,38401,496000,0.875,0.07742137096774193
570.0,8,24,0,7,86569,496000,1.0,0.1745342741935484
580.0,8,72,0,14,210248,496000,1.0,0.42388709677419356
590.0,8,94,0,26,303014,496000,1.0,0.6109153225806452
600.0,8,76,0,32,308329,496000,1.0,0.6216310483870968
610.0,8,78,0,31,337665,496000,1.0,0.6807762096774194
620.0,8,91,0,21,342211,496000,1.0,0.6899415322580645
630.0,8,93,0,32,373752,496000,1.0,0.7535322580645162
640.0,8,92,0,26,390363,496000,1.0,0.7870221774193549
650.0,8,92,0,19,358928,496000,1.0,0.7236451612903226
660.0,8,72,0,21,322785,496000,1.0,0.6507762096774193
670.0,8,56,0,14,234815,496000,1.0,0.4734173387096774
680.0,8,52,0,14,205899,496000,1.0,0.41511895161290324
690.0,8,35,0,13,144855,496000,1.0,0.29204637096774194
700.0,8,22,0,9,85687,496000,1.0,0.17275604838709677
710.0,8,19,0,4,71750,496000,0.75,0.14465725806451613
720.0,8,12,0,4,58226,496000,0.625,0.11739112903225807
730.0,8,7,0,2,28633,496000,0.625,0.05772782258064516
740.0,8,5,0,2,19535,496000,0.625,0.03938508064516129
750.0,8,4,0,0,9343,496000,0.5,0.018836693548387098
760.0,8,4,0,0,9343,496000,0.5,0.018836693548387098
770.0,8,4,0,0,9343,496000,0.5,0.018836693548387098
780.0,8,4,0,0,9343,496000,0.5,0.018836693548387098
790.0,8,3,0,1,9343,496000,0.375,0.018836693548387098
800.0,8,2,0,2,10345,496000,0.25,0.020856854838709676
810.0,8,3,0,0,8420,496000,0.375,0.016975806451612903
820.0,8,2,0,0,5987,496000,0.25,0.012070564516129033
830.0,8,1,0,1,6212,496000,0.125,0.012524193548387097
840.0,8,1,0,0,1964,496000,0.125,0.003959677419354839
850.0,8,4,0,0,6279,496000,0.5,0.012659274193548387
860.0,8,41,0,4,96898,496000,1.0,0.19535887096774193
870.0,8,110,0,17,343412,496000,1.0,0.6923629032258064
880.0,8,110,0,27,386735,496000,1.0,0.7797076612903225
890.0,8,108,0,24,395611,496000,1.0,0.7976028225806452
900.0,8,91,0,26,371633,496000,1.0,0.7492600806451613
910.0,8,78,0,23,353050,496000,1.0,0.7117943548387097
920.0,8,83,0,26,379141,496000,1.0,0.7643971774193549
930.0,8,96,0,20,362010,496000,1.0,0.7298588709677419
940.0,8,77,0,30,364863,496000,1.0,0.7356108870967742
950.0,8,62,0,25,341095,496000,1.0,0.6876915322580646
960.0,8,48,0,19,298155,496000,1.0,0.6011189516129032
970.0,8,38,0,9,215300,496000,1.0,0.4340725806451613
980.0,8,25,0,8,167489,496000,0.875,0.33767943548387097
990.0,8,18,0,7,136725,496000,0.75,0.27565524193548385
1000.0,8,15,0,4,110368,496000,0.75,0.22251612903225806
1010.0,8,15,0,1,83971,496000,0.75,0.16929637096774194
1020.0,8,10,0,1,64843,496000,0.625,0.13073185483870967
1030.0,8,9,0,0,50238,496000,0.625,0.10128629032258064
1040.0,8,5,0,0,34968,496000,0.5,0.0705
1050.0,8,3,0,0,21091,496000,0.375,0.04252217741935484
1060.0,8,3,0,0,21091,496000,0.375,0.04252217741935484
1070.0,8,3,0,0,21091,496000,0.375,0.04252217741935484
1080.0,8,7,0,1,34410,496000,0.875,0.069375
1090.0,8,24,0,5,96437,496000,1.0,0.19442943548387095
1100.0,8,37,0,8,125954,496000,1.0,0.25393951612903226
1110.0,8,40,0,21,170853,496000,1.0,0.34446169354838707
1120.0,8,44,0,20,169695,496000,1.0,0.34212701612903224
1130.0,8,34,0,16,148704,496000,1.0,0.2998064516129032
1140.0,8,45,0,14,198436,496000,1.0,0.40007258064516127
1150.0,8,33,0,20,175139,496000,1.0,0.3531028225806452
1160.0,8,30,0,10,148968,496000,1.0,0.3003387096774194
1170.0,8,18,0,10,107683,496000,0.875,0.21710282258064517
1180.0,8,24,0,7,113923,496000,1.0,0.2296834677419355
