t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
310.0,8,153,0,0,378316,496000,1.0,0.7627338709677419
320.0,8,112,0,0,323371,496000,1.0,0.6519576612903226
330.0,8,70,0,0,218880,496000,1.0,0.44129032258064516
340.0,8,46,0,0,148782,496000,1.0,0.29996370967741937
350.0,8,52,0,0,171048,496000,1.0,0.3448548387096774
360.0,8,31,0,0,118226,496000,1.0,0.23835887096774194
370.0,8,20,0,0,81774,496000,1.0,0.16486693548387096
380.0,8,11,0,0,45642,496000,1.0,0.09202016129032257
390.0,8,19,0,0,40730,496000,1.0,0.08211693548387097
400.0,8,9,0,0,26813,496000,0.75,0.054058467741935484
410.0,8,6,0,0,16901,496000,0.5,0.03407459677419355
420.0,8,5,0,0,11034,496000,0.5,0.022245967741935484
430.0,8,32,0,0,59982,496000,1.0,0.12093145161290322
440.0,8,11,0,0,28766,496000,0.875,0.05799596774193548
450.0,8,5,0,0,13306,496000,0.5,0.026826612903225806
460.0,8,2,0,0,5138,496000,0.25,0.010358870967741936
470.0,8,1,0,0,1741,496000,0.125,0.0035100806451612903
480.0,8,0,0,0,0,496000,0.0,0.0
490.0,8,0,0,0,0,496000,0.0,0.0
500.0,8,0,0,0,0,496000,0.0,0.0
510.0,8,0,0,0,0,496000,0.0,0.0
520.0,8,17,0,0,38913,496000,1.0,0.07845362903225807
530.0,8,16,0,0,55234,496000,1.0,0.11135887096774194
540.0,8,8,0,0,42126,496000,0.875,0.08493145161290322
550.0,8,4,0,0,22666,496000,0.5,0.04569758064516129
560.0,8,29,0,0,65293,496000,1.0,0.1316391129032258
570.0,8,91,0,0,192356,496000,1.0,0.3878145161290323
580.0,8,252,38,0,453953,496000,1.0,0.9152278225806452
590.0,8,255,113,0,467585,496000,1.0,0.9427116935483871
600.0,8,253,52,0,464563,496000,1.0,0.9366189516129032
610.0,8,251,62,0,438859,496000,1.0,0.8847963709677419
620.0,8,254,114,0,428708,496000,1.0,0.8643306451612903
630.0,8,248,155,0,439996,496000,1.0,0.8870887096774194
640.0,8,255,96,0,451866,496000,1.0,0.9110201612903226
650.0,8,250,94,0,427891,496000,1.0,0.8626834677419355
660.0,8,250,43,0,435813,496000,1.0,0.8786552419354838
670.0,8,238,0,0,402405,496000,1.0,0.8113004032258064
680.0,8,183,0,0,349337,496000,1.0,0.7043084677419355
690.0,8,105,0,0,251638,496000,1.0,0.5073346774193548
700.0,8,58,0,0,142658,496000,1.0,0.28761693548387096
710.0,8,30,0,0,86254,496000,0.875,0.1738991935483871
720.0,8,18,0,0,38350,496000,0.875,0.07731854838709677
730.0,8,11,0,0,23302,496000,0.75,0.04697983870967742
740.0,8,7,0,0,16860,496000,0.625,0.033991935483870965
750.0,8,5,0,0,13277,496000,0.5,0.02676814516129032
760.0,8,5,0,0,13277,496000,0.5,0.02676814516129032
770.0,8,4,0,0,9454,496000,0.375,0.019060483870967742
780.0,8,4,0,0,9454,496000,0.375,0.019060483870967742
790.0,8,4,0,0,9454,496000,0.375,0.019060483870967742
800.0,8,3,0,0,7235,496000,0.25,0.014586693548387097
810.0,8,3,0,0,7235,496000,0.25,0.014586693548387097
820.0,8,3,0,0,7235,496000,0.25,0.014586693548387097
830.0,8,3,0,0,7235,496000,0.25,0.014586693548387097
840.0,8,1,0,0,2036,496000,0.125,0.00410483870967742
850.0,8,12,0,0,29630,496000,1.0,0.05973790322580645
860.0,8,165,0,0,374268,496000,1.0,0.7545725806451613
870.0,8,255,199,0,473210,496000,1.0,0.9540524193548388
880.0,8,249,186,0,457106,496000,1.0,0.9215846774193548
890.0,8,253,143,0,460253,496000,1.0,0.927929435483871
900.0,8,254,119,0,437540,496000,1.0,0.8821370967741935
910.0,8,254,88,0,446711,496000,1.0,0.9006270161290323
920.0,8,250,140,0,439688,496000,1.0,0.8864677419354838
930.0,8,253,190,0,441088,496000,1.0,0.8892903225806451
940.0,8,254,152,0,459165,496000,1.0,0.9257358870967742
950.0,8,254,85,0,449265,496000,1.0,0.9057762096774193
960.0,8,253,28,0,432592,496000,1.0,0.8721612903225806
970.0,8,190,0,0,332883,496000,1.0,0.6711350806451613
980.0,8,99,0,0,176864,496000,1.0,0.35658064516129034
990.0,8,44,0,0,84955,496000,0.875,0.17128024193548388
1000.0,8,20,0,0,37029,496000,0.625,0.07465524193548387
1010.0,8,14,0,0,26591,496000,0.625,0.053610887096774196
1020.0,8,9,0,0,21756,496000,0.625,0.04386290322580645
1030.0,8,7,0,0,20437,496000,0.5,0.04120362903225806
