t,replicas,running,queued,parked,kv_used,kv_capacity,gpu_util,kv_util
310.0,8,11,0,38,263998,496000,0.75,0.5322540322580646
320.0,8,18,0,32,288617,496000,1.0,0.5818891129032258
330.0,8,15,0,34,300325,496000,0.875,0.6054939516129032
340.0,8,21,0,30,313227,496000,1.0,0.6315060483870968
350.0,8,19,0,33,297557,496000,0.875,0.5999133064516129
360.0,8,18,0,30,258282,496000,0.75,0.5207298387096774
370.0,8,21,0,25,268265,496000,1.0,0.5408568548387097
380.0,8,15,0,29,281492,496000,0.875,0.5675241935483871
390.0,8,20,0,24,291808,496000,0.875,0.5883225806451613
400.0,8,22,0,19,293884,496000,1.0,0.592508064516129
410.0,8,19,0,20,295494,496000,0.875,0.5957540322580646
420.0,8,22,0,15,296975,496000,1.0,0.5987399193548387
430.0,8,20,0,18,297980,496000,1.0,0.600766129032258
440.0,8,19,0,17,274200,496000,1.0,0.5528225806451613
450.0,8,14,0,19,263007,496000,0.875,0.5302560483870967
460.0,8,10,0,15,145745,496000,0.875,0.2938407258064516
470.0,8,14,0,10,145770,496000,0.875,0.29389112903225806
480.0,8,11,0,12,128861,496000,0.875,0.25980040322580644
490.0,8,12,0,9,123160,496000,0.75,0.24830645161290324
500.0,8,11,0,9,130430,496000,0.875,0.26296370967741933
510.0,8,11,0,8,133885,496000,0.875,0.269929435483871
520.0,8,13,0,4,104056,496000,0.875,0.20979032258064517
530.0,8,6,0,10,93793,496000,0.5,0.18909879032258065
540.0,8,5,0,9,85880,496000,0.375,0.1731451612903226
550.0,8,5,0,8,86775,496000,0.5,0.17494959677419356
560.0,8,7,0,6,88740,496000,0.625,0.17891129032258066
570.0,8,10,0,7,102409,496000,0.75,0.20646975806451612
580.0,8,18,0,14,143254,496000,0.875,0.28881854838709675
590.0,8,17,0,22,154219,496000,0.875,0.3109254032258065
600.0,8,21,0,18,161306,496000,1.0,0.32521370967741936
610.0,8,22,0,21,173762,496000,1.0,0.3503266129032258
620.0,8,22,0,27,190133,496000,1.0,0.38333266129032256
630.0,8,27,0,28,219015,496000,1.0,0.4415625
640.0,8,23,0,32,192426,496000,0.875,0.38795564516129033
650.0,8,21,0,37,207657,496000,1.0,0.4186633064516129
660.0,8,23,0,35,222526,496000,1.0,0.44864112903225806
670.0,8,19,0,41,250058,496000,0.875,0.504149193548387
680.0,8,26,0,36,275488,496000,1.0,0.5554193548387096
690.0,8,29,0,33,288659,496000,1.0,0.5819737903225807
700.0,8,24,0,38,305959,496000,1.0,0.6168528225806451
710.0,8,31,0,30,300669,496000,1.0,0.6061875
720.0,8,27,0,32,299466,496000,1.0,0.6037620967741936
730.0,8,25,0,32,307068,496000,1.0,0.6190887096774194
740.0,8,25,0,31,302294,496000,1.0,0.6094637096774194
750.0,8,25,0,29,278750,496000,1.0,0.5619959677419355
760.0,8,20,0,31,270627,496000,1.0,0.5456189516129032
770.0,8,19,0,29,268426,496000,0.75,0.5411814516129032
780.0,8,26,0,20,261302,496000,1.0,0.5268185483870967
790.0,8,18,0,24,225622,496000,0.875,0.45488306451612903
800.0,8,24,0,16,233444,496000,1.0,0.47065322580645164
810.0,8,14,0,24,235285,496000,0.875,0.4743649193548387
820.0,8,10,0,20,197569,496000,1.0,0.3983245967741936
830.0,8,14,0,9,154308,496000,0.75,0.3111048387096774
840.0,8,14,0,6,149912,496000,0.875,0.30224193548387096
850.0,8,8,0,10,141586,496000,0.75,0.28545564516129035
860.0,8,15,0,12,163609,496000,1.0,0.3298568548387097
870.0,8,30,0,17,247958,496000,1.0,0.49991532258064514
