cold_start_s,policy,slo,gpu_s,p99_prog,goodput,waste
0.0,hpa-gpu,0.9760984685845141,88320.0,241.43000000000006,0.9582338902147971,0.013332999891110274
0.0,keda-queue,0.8585704371963914,9840.0,1184.8199999999995,0.8174224343675418,0.8772432187058792
0.0,predictive,0.9054353854686633,10425.0,1142.6799999999994,0.8460620525059666,0.8721056693560434
0.0,park-aware,0.9732016925246827,14205.0,755.4950000000001,0.9427207637231504,0.709404248495641
30.0,hpa-gpu,0.9764788732394366,72240.0,244.41000000000008,0.9582338902147971,0.24828443047219842
30.0,keda-queue,0.8905926232905097,10500.0,1046.610000000001,0.8257756563245824,0.8742311043023093
30.0,predictive,0.824357912178956,10755.0,1252.8999999999996,0.8460620525059666,0.874443449953922
30.0,park-aware,0.954532852786249,13875.0,552.9399999999994,0.9367541766109785,0.7273270220654404
90.0,hpa-gpu,0.9193660503267065,23085.0,691.64,0.9391408114558473,0.7482497086725064
90.0,keda-queue,0.7004109589041095,9975.0,1405.3399999999992,0.8436754176610979,0.8912614310655345
90.0,predictive,0.7134246575342466,10905.0,1372.5500000000004,0.8245823389021479,0.8845601549534667
90.0,park-aware,0.8357534246575342,12420.0,990.5249999999999,0.8782816229116945,0.836542075063617
180.0,hpa-gpu,0.34772541541814217,6495.0,1862.0750000000019,0.20763723150357996,0.8424788401464071
180.0,keda-queue,0.3734229292375206,6465.0,1778.28,0.5310262529832935,0.8835322714796793
180.0,predictive,0.6719178082191781,8850.0,1310.429999999999,0.7565632458233891,0.8934570304203941
180.0,park-aware,0.8642465753424657,11490.0,1020.1250000000001,0.9021479713603818,0.8651435101602278
300.0,hpa-gpu,0.2679123538109961,5190.0,1922.0,0.12052505966587113,0.8104078709886997
300.0,keda-queue,0.32664007701829184,4755.0,1886.299999999998,0.31145584725536996,0.8554067650972775
300.0,predictive,0.5813698630136986,7845.0,1530.1650000000002,0.630071599045346,0.8861962818436737
300.0,park-aware,0.712015344567749,9870.0,1297.0799999999997,0.815035799522673,0.8826396355584586
