policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,admission_batch,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,p1_safe_observed,capacity_only_bound
pressure-aware,64,8.0,468,405,547.5,701.3,1.32486381118976,0.047955246913580246,0.0,8.5,1243.0,25920,0.9951003086419753,59227.5,8280494,16276203,0.5087485084819844,113,0,113,0,1071055,66,29,21.513803123864875,30,0,1.0,10,4,12,39762.0,1.4895503244303607,8,14
pressure-aware,64,8.0,468,405,548.0,695.42,1.32486381118976,0.04741512345679012,0.0,8.5,1229.0,25920,0.9951003086419753,59508.0,7911085,15914394,0.4971024972738516,60,0,60,0,749200,55,23,21.61569197239375,31,0,1.0,12,4,12,39762.0,1.4966047985513806,8,14
pressure-aware,64,8.0,468,405,547.0,694.9,1.3207640917557353,0.039544753086419755,0.0,8.405000000000655,1025.0,25920,0.9954861111111111,59514.5,7795288,15808507,0.4931071605939764,66,0,66,0,712058,56,23,21.61805303305485,31,0,1.0,14,4,12,39762.0,1.4967682712137216,8,14
pressure-aware,64,8.0,468,405,546.0,697.0,1.3109918395786646,0.0402391975308642,0.0,8.0,1043.0,25920,0.9959876543209877,59722.5,7814189,15810633,0.494236315522598,53,0,53,0,808362,61,27,21.693606974209953,31,0,1.0,16,4,12,39762.0,1.5019993964086313,8,14
pressure-aware,64,8.0,936,819,544.0,701.1499999999995,1.25762272084096,0.010235424297924298,0.0,8.5,536.5,52416,0.9989888583638583,114339.0,14170891,30175714,0.4696124505952038,154,0,154,0,1493555,40,21,41.547601744186046,48,0,1.0,4,8,24,87720.0,1.303454172366621,8,14
pressure-aware,64,8.0,936,819,545.0,708.2799999999997,1.2825591709513482,0.018610729548229548,0.0,8.5,975.5,52416,0.9980540293040293,114420.0,14602106,30587751,0.4773841005832694,133,0,133,0,960386,43,19,41.539299328371754,50,0,1.0,6,8,24,87720.0,1.3043775649794802,8,14
pressure-aware,64,8.0,936,819,548.5,736.3699999999998,2.4819590789749384,0.08683417277167277,2.0,8.5,4551.5,52416,0.9907471001221001,117084.0,18387032,34386130,0.5347223429912003,237,0,237,0,2001621,76,35,42.506444000726084,59,0,1.0,8,8,24,87720.0,1.3347469220246237,8,14
pressure-aware,64,8.0,936,819,550.5,738.5099999999996,5.309078773450407,0.1282051282051282,4.5,8.5,6720.0,52416,0.9872748778998779,118827.0,18812142,34809525,0.5404308734462766,271,0,271,0,2214771,81,36,43.154893771563465,64,0,1.0,10,8,24,87720.0,1.3546169630642955,8,14
pressure-aware,64,8.0,936,819,550.5,735.5499999999998,2.685014992124906,0.10152434371184371,2.5,8.5,5321.5,52416,0.9904990842490843,118310.5,17922504,33916916,0.5284237517349749,170,0,170,0,1550594,76,33,42.99073401162791,64,0,1.0,12,8,24,87720.0,1.3487289101687185,8,14
pressure-aware,64,8.0,936,819,550.0,746.8699999999998,5.906763644355988,0.13480616605616605,5.0,8.5,7066.0,52416,0.9862637362637363,119081.0,17690062,33688050,0.5251138608497672,121,0,121,0,1174378,72,28,43.254994551398475,64,0,1.0,14,8,24,87720.0,1.3575125398996808,8,14
pressure-aware,64,8.0,936,819,550.5,746.9599999999998,5.215816834786482,0.11682501526251526,4.0,8.5,6123.5,52416,0.986893315018315,119082.0,17823999,33824848,0.5269498624206678,127,0,127,0,1176428,73,31,43.25535779150018,64,0,1.0,16,8,24,87720.0,1.3575239398084815,8,14
