t,replicas,running,queued,parked,kv_used,kv_capacity,cache_resident,parked_cached,gpu_util,kv_util
310.0,8,9,0,0,22635,601728,22635,0,0.875,0.037616664007657945
320.0,8,1,0,0,1741,601728,1741,0,0.125,0.002893333865135078
330.0,8,0,0,0,0,601728,0,0,0.0,0.0
340.0,8,5,0,0,25444,601728,25444,0,0.625,0.04228488619442672
350.0,8,0,0,0,0,601728,0,0,0.0,0.0
360.0,8,0,0,0,0,601728,0,0,0.0,0.0
370.0,8,0,0,0,0,601728,0,0,0.0,0.0
380.0,8,0,0,0,0,601728,0,0,0.0,0.0
390.0,8,0,0,0,0,601728,0,0,0.0,0.0
400.0,8,0,0,0,0,601728,0,0,0.0,0.0
410.0,8,0,0,0,0,601728,0,0,0.0,0.0
420.0,8,0,0,0,0,601728,0,0,0.0,0.0
430.0,8,2,0,0,7336,601728,7336,0,0.25,0.012191554988300362
440.0,8,0,0,0,0,601728,0,0,0.0,0.0
450.0,8,0,0,0,0,601728,0,0,0.0,0.0
460.0,8,0,0,0,0,601728,0,0,0.0,0.0
470.0,8,0,0,0,0,601728,0,0,0.0,0.0
480.0,8,0,0,0,0,601728,0,0,0.0,0.0
490.0,8,0,0,0,0,601728,0,0,0.0,0.0
500.0,8,0,0,0,0,601728,0,0,0.0,0.0
510.0,8,0,0,0,0,601728,0,0,0.0,0.0
520.0,8,3,0,0,18145,601728,18145,0,0.375,0.030154820782812168
530.0,8,0,0,0,0,601728,0,0,0.0,0.0
540.0,8,0,0,0,0,601728,0,0,0.0,0.0
550.0,8,0,0,0,0,601728,0,0,0.0,0.0
560.0,8,18,0,0,50280,601728,50280,0,1.0,0.08355934907466496
570.0,8,26,0,0,31708,601728,31708,0,1.0,0.05269490533928951
580.0,8,36,0,0,108049,601728,108049,0,1.0,0.17956452084662838
590.0,8,4,0,0,5820,601728,5820,0,0.25,0.009672144224633058
600.0,8,0,0,0,0,601728,0,0,0.0,0.0
610.0,8,12,0,0,26379,601728,26379,0,1.0,0.04383874441608168
620.0,8,19,0,0,56723,601728,56723,0,1.0,0.09426684482025101
630.0,8,10,0,0,26358,601728,26358,0,0.875,0.04380384492661136
640.0,8,12,0,0,37812,601728,37812,0,0.875,0.06283902361199745
650.0,8,3,0,0,9943,601728,9943,0,0.375,0.016524077323973624
660.0,8,4,0,0,9010,601728,9010,0,0.5,0.014973542863220592
670.0,8,7,0,0,19487,601728,19487,0,0.75,0.03238506434801106
680.0,8,0,0,0,0,601728,0,0,0.0,0.0
690.0,8,0,0,0,0,601728,0,0,0.0,0.0
700.0,8,0,0,0,0,601728,0,0,0.0,0.0
710.0,8,0,0,0,0,601728,0,0,0.0,0.0
720.0,8,0,0,0,0,601728,0,0,0.0,0.0
730.0,8,0,0,0,0,601728,0,0,0.0,0.0
740.0,8,0,0,0,0,601728,0,0,0.0,0.0
750.0,8,0,0,0,0,601728,0,0,0.0,0.0
760.0,8,0,0,0,0,601728,0,0,0.0,0.0
770.0,8,0,0,0,0,601728,0,0,0.0,0.0
780.0,8,0,0,0,0,601728,0,0,0.0,0.0
790.0,8,0,0,0,0,601728,0,0,0.0,0.0
800.0,8,0,0,0,0,601728,0,0,0.0,0.0
810.0,8,0,0,0,0,601728,0,0,0.0,0.0
820.0,8,0,0,0,0,601728,0,0,0.0,0.0
830.0,8,0,0,0,0,601728,0,0,0.0,0.0
840.0,8,0,0,0,0,601728,0,0,0.0,0.0
850.0,8,9,0,0,26215,601728,26215,0,1.0,0.04356619602212295
860.0,8,55,0,0,173821,601728,173821,0,1.0,0.2888697218676877
870.0,8,112,0,0,373721,601728,373721,0,1.0,0.6210796240161668
880.0,8,13,0,0,34872,601728,34872,0,1.0,0.05795309508615188
890.0,8,1,0,0,5030,601728,5030,0,0.125,0.008359258668368431
900.0,8,23,0,0,60834,601728,60834,0,1.0,0.10109883535417996
910.0,8,8,0,0,24831,601728,24831,0,0.625,0.04126615347798341
920.0,8,26,0,0,72256,601728,72256,0,1.0,0.12008083386513507
930.0,8,10,0,0,26430,601728,26430,0,0.875,0.043923500319081044
940.0,8,1,0,0,4837,601728,4837,0,0.125,0.008038515741331631
950.0,8,1,0,0,4837,601728,4837,0,0.125,0.008038515741331631
960.0,8,0,0,0,0,601728,0,0,0.0,0.0
970.0,8,0,0,0,0,601728,0,0,0.0,0.0
980.0,8,0,0,0,0,601728,0,0,0.0,0.0
990.0,8,0,0,0,0,601728,0,0,0.0,0.0
