policy,turns_per_program,think_mean_s,n_programs,n_completed,p50_program_s,p99_program_s,p99_slowdown,mean_queue_s,p99_queue_s,p99_service_s,total_queue_s,n_turns_scored,slo_attain,gpu_seconds,recomputed_tokens,useful_prefill_tokens,waste_ratio,kv_kills,kills_evict,kills_scalein,evicted_tokens,scalein_tokens,scale_events,scale_ins,mean_replicas,max_replicas,unfinished_turns,goodput,load_multiplier,static_ref_n,static_ref_gpu_s,gpu_vs_static,slo_per_gpu_ratio,queue_delta_s_vs_hpa,recompute_saved_vs_hpa,gpu_saved_pct_vs_hpa,slo_delta_vs_hpa,completed_delta_vs_hpa
predictive,8,8.0,7488,6552,106.5,226.5,19.87535586340834,0.5996833028083028,9.0,35.5,31433.0,52416,0.348252442002442,26025.5,130902544,167616360,0.7809651993397303,48865,47802,1063,126568067,4312016,115,46,11.402190580503834,21,0,1.0,8,14,31759.0,0.8194684971189269,0.4249735569174677,31433.0,-111212589,0.6950303499027397,-0.648313492063492,0
pressure-aware,8,8.0,7488,6552,61.0,132.0,1.774877049597683,0.0,0.0,9.0,0.0,52416,1.0,46402.0,3036093,39749909,0.0763798729702752,72,0,72,0,274244,12,6,20.463947078280043,26,0,1.0,8,14,31759.0,1.4610661544758965,0.6844317055299342,0.0,16653862,0.45625629848367666,0.003434065934066033,0
rl-qlearn,8,8.0,7488,6552,87.0,201.5,14.455777603360286,0.1825110653235653,9.0,26.0,9566.5,52416,0.5875686813186813,27050.0,111718506,148432322,0.7526561903410768,49342,48767,575,109490504,2217402,81,39,11.861433896075422,17,0,1.0,8,14,31759.0,0.8517270694921125,0.6898555914972273,9566.5,-92028551,0.68302514706227,-0.4089972527472526,0
rl-qlearn+parked,8,8.0,7488,6552,98.5,223.5,12.556868056737851,0.2084573412698412,6.0,33.0,10926.5,52416,0.4220467032967033,24536.5,127380413,164094229,0.7762638197349402,49836,49366,470,125552637,1790637,74,38,10.804271246147072,16,0,1.0,8,14,31759.0,0.7725841493749803,0.5462792676217064,10926.5,-107690458,0.7124786144507722,-0.5745192307692306,0
hpa-gpu,64,8.0,117,104,668.25,1358.52,2.490034844727469,7.512019230769231e-05,0.0,21.5,0.5,6656,0.9996995192307692,16898.5,42359343,45086886,0.9395047375860024,4748,4674,74,42615595,492947,46,21,6.3767924528301885,10,0,1.0,1,3,9597.0,1.760810670001042,0.5677495804987244,0.0,0,0.0,0.0,0
keda-queue,64,8.0,117,101,1541.5,3191.0,7.773453580563729,0.0697307055814653,2.0,63.26999999999998,463.5,6656,0.1487379807692307,6828.0,79025740,82101986,0.9625314057567376,7050,7048,2,80041366,65536,3,2,1.7192496537832054,2,9,0.971153846153846,1,3,9597.0,0.7114723351047202,0.2090565907209003,463.0,-36666397,0.5959404680888836,-0.8509615384615384,-3
kv-util,64,8.0,117,104,604.25,1739.895,4.228422965545964,0.0,0.0,31.0,0.0,6656,0.9056490384615384,15085.5,30836240,33412979,0.9228820932129398,3396,3356,40,31075904,355115,52,25,5.4946275723911855,9,0,1.0,1,3,9597.0,1.5718974679587372,0.5761501986752434,-0.5,11523103,0.10728762907950407,-0.09405048076923073,0
park-aware,64,8.0,117,104,698.25,1344.61,2.5763368776180937,0.0,0.0,23.0,0.0,6656,0.999549278846154,15006.5,45130663,47914063,0.9419084956331089,4890,4814,76,45215479,721069,79,41,5.473828196242932,11,0,1.0,1,3,9597.0,1.5636657288736064,0.6392346269340977,-0.5,-2771320,0.11196260023078974,-0.00015024038461519673,0
predictive,64,8.0,117,104,838.75,1842.235,4.231486335979733,0.0,0.0,31.5,0.0,6656,0.9073016826923076,12579.0,64524148,67567677,0.9549558437535156,6608,6510,98,64832991,762922,133,70,4.150800197987131,9,0,1.0,1,3,9597.0,1.3107221006564551,0.6922151402176705,-0.5,-22164805,0.255614403645294,-0.09239783653846156,0
pressure-aware,64,8.0,117,104,550.75,701.715,1.3128298032169572,0.0424429086538461,0.0,8.0,282.5,6656,0.9966947115384616,15601.5,1240786,3240777,0.3828668248386112,17,0,17,0,174394,17,7,5.882918552036199,8,0,1.0,1,3,9597.0,1.6256642700844013,0.6130999677360905,282.0,41118557,0.07675237447110694,-0.0030048076923075984,0
rl-qlearn,64,8.0,117,104,1046.25,2255.715,4.888816691379646,0.0,0.0,39.0,0.0,6656,0.6697716346153846,11819.0,71701254,74718889,0.959613492111747,6303,6213,90,72258729,486239,135,67,3.660266336327036,9,0,1.0,1,3,9597.0,1.2315306866729183,0.543852980573978,-0.5,-29341911,0.3005888096576619,-0.3299278846153846,0
rl-qlearn+parked,64,8.0,117,104,1001.5,1871.9,3.4591759639145145,0.0012770432692307,0.0,32.0,8.5,6656,0.8841646634615384,11211.0,73004018,76017683,0.960355737230244,6657,6586,71,73622215,422609,121,60,3.4164254152064606,7,0,1.0,1,3,9597.0,1.1681775554860894,0.7568752363964307,8.0,-30644675,0.3365683344675563,-0.11553485576923073,0
hpa-gpu,64,8.0,234,202,702.25,1401.94,2.882090214163484,0.0,0.0,25.0,0.0,12928,0.9962097772277227,29223.5,93844153,99351862,0.9445636056624688,10075,9960,115,94710144,684431,60,30,10.597824116047144,18,0,1.0,2,6,19515.0,1.4974891109403023,0.6652534365356308,0.0,0,0.0,0.0,0
keda-queue,64,8.0,234,202,1464.75,3097.4350000000004,9.477655338567342,0.1484761757425742,4.0,60.86499999999978,1919.5,12928,0.1820080445544554,14048.0,159509652,165673654,0.9627943136933528,14124,14113,11,161373807,314272,8,5,3.632790276700285,5,0,1.0,2,6,19515.0,0.7198565206251601,0.2528393358115175,1919.5,-65665499,0.5192909815730491,-0.8142017326732673,0
kv-util,64,8.0,234,202,651.5,1070.985,2.1775896151350507,0.0,0.0,18.5,0.0,12928,0.9953589108910892,29455.0,77747005,83116413,0.9353989446103744,9570,9507,63,78385047,771112,47,24,10.00679463224053,19,0,1.0,2,6,19515.0,1.509351780681527,0.6594611830262979,0.0,16097148,-0.007921706845518184,-0.00085086633663356,0
