T,tau,gpu_util_mean,kv_util_mean,cache_resident_util_mean,parked_cache_util_mean,invisible_parked_frac,corr,parked_frac
1,0.0,0.3020334928229665,0.026183499018838492,0.026183499018838492,0.0,0.0,0.6636218366408592,0.0
4,4.0,0.24761904761904763,0.015806849289918053,0.05663444834432394,0.04082759905440584,0.13333333333333333,0.8351714519951962,0.5871079040983758
8,8.0,0.24285714285714285,0.017551966210330124,0.14852970271016294,0.13097773649983274,0.23809523809523808,0.798966331239868,0.8841575297007455
16,8.0,0.24226190476190476,0.02877121825650063,0.24377262531528238,0.21500140705878187,0.19523809523809524,0.7033405405893612,0.9102646199855787
