T,sweep,value,label,policy,slo,goodput,gpu_s
64,kv_capacity,500000.0,500k,hpa-gpu,0.9996995192307693,1.0,10194.0
64,kv_capacity,500000.0,500k,keda-queue,0.9971454326923077,1.0,2674.0
64,kv_capacity,500000.0,500k,kv-util,0.9971454326923077,1.0,2674.0
64,kv_capacity,500000.0,500k,park-aware,1.0,1.0,4559.5
64,kv_capacity,500000.0,500k,pressure-aware,0.986328125,1.0,5373.5
64,max_batch,8.0,8,hpa-gpu,1.0,1.0,16317.0
64,max_batch,8.0,8,keda-queue,0.9190204326923077,1.0,9457.5
64,max_batch,8.0,8,kv-util,1.0,1.0,13510.5
64,max_batch,8.0,8,park-aware,1.0,1.0,14899.5
64,max_batch,8.0,8,pressure-aware,0.9966947115384616,1.0,15601.5
64,max_batch,16.0,16,hpa-gpu,0.9996995192307693,1.0,16898.5
64,max_batch,16.0,16,keda-queue,0.7154447115384616,1.0,8080.0
64,max_batch,16.0,16,kv-util,0.984375,1.0,14777.5
64,max_batch,16.0,16,park-aware,1.0,1.0,14183.0
64,max_batch,16.0,16,pressure-aware,0.9966947115384616,1.0,15601.5
64,max_batch,32.0,32,hpa-gpu,0.9996995192307693,1.0,16898.5
64,max_batch,32.0,32,keda-queue,0.14873798076923078,0.9711538461538461,6828.0
64,max_batch,32.0,32,kv-util,0.9056490384615384,1.0,15085.5
64,max_batch,32.0,32,park-aware,0.9995492788461539,1.0,15006.5
64,max_batch,32.0,32,pressure-aware,0.9966947115384616,1.0,15601.5
64,max_batch,64.0,64,hpa-gpu,0.9996995192307693,1.0,16898.5
64,max_batch,64.0,64,keda-queue,0.189453125,0.9519230769230769,7164.5
64,max_batch,64.0,64,kv-util,0.9056490384615384,1.0,15085.5
64,max_batch,64.0,64,park-aware,0.9995492788461539,1.0,15006.5
64,max_batch,64.0,64,pressure-aware,0.9966947115384616,1.0,15601.5
64,target,0.5,0.5,park-aware,1.0,1.0,15211.5
64,target,0.6,0.6,park-aware,1.0,1.0,15940.5
64,target,0.7,0.7,park-aware,0.9995492788461539,1.0,15006.5
64,target,0.8,0.8,park-aware,0.9056490384615384,1.0,14671.0
64,target,0.9,0.9,park-aware,0.9056490384615384,1.0,13490.0
