t,replicas,running,queued,parked,kv_used,kv_capacity,cache_resident,parked_cached,gpu_util,kv_util
310.0,8,3,0,37,18780,601728,191567,172787,0.375,0.03121011486917677
320.0,8,5,0,30,22595,601728,139368,116773,0.625,0.03755018878961923
330.0,8,2,0,22,1730,601728,68199,66469,0.25,0.002875053180174431
340.0,8,3,0,20,6162,601728,63259,57097,0.375,0.010240507338864072
350.0,8,5,0,19,21748,601728,72389,50641,0.5,0.036142576047649436
360.0,8,2,0,17,10520,601728,51846,41326,0.25,0.01748298234418209
370.0,8,2,0,12,3759,601728,32170,28411,0.25,0.006247008615188258
380.0,8,1,0,9,903,601728,23203,22300,0.125,0.001500678047223995
390.0,8,0,0,9,0,601728,21582,21582,0.0,0.0
400.0,8,0,0,8,0,601728,24240,24240,0.0,0.0
410.0,8,0,0,5,0,601728,22903,22903,0.0,0.0
420.0,8,0,0,3,0,601728,12217,12217,0.0,0.0
430.0,8,0,0,7,0,601728,13628,13628,0.0,0.0
440.0,8,1,0,5,1525,601728,12419,10894,0.125,0.002534367687726016
450.0,8,0,0,6,0,601728,14249,14249,0.0,0.0
460.0,8,0,0,5,0,601728,4315,4315,0.0,0.0
470.0,8,1,0,4,2002,601728,5141,3139,0.125,0.003327084662837694
480.0,8,0,0,5,0,601728,5493,5493,0.0,0.0
490.0,8,0,0,3,0,601728,1730,1730,0.0,0.0
500.0,8,0,0,2,0,601728,378,378,0.0,0.0
510.0,8,0,0,2,0,601728,457,457,0.0,0.0
520.0,8,0,0,4,0,601728,10734,10734,0.0,0.0
530.0,8,0,0,5,0,601728,13602,13602,0.0,0.0
540.0,8,0,0,5,0,601728,14668,14668,0.0,0.0
550.0,8,0,0,5,0,601728,16517,16517,0.0,0.0
560.0,8,2,0,6,4979,601728,25848,20869,0.25,0.00827450276536907
570.0,8,4,0,14,11455,601728,52812,41357,0.5,0.019036840565837057
580.0,8,6,0,39,28549,601728,136356,107807,0.75,0.047445024994681985
590.0,8,8,0,53,29917,601728,191913,161996,0.625,0.04971847745160604
600.0,8,7,0,53,37339,601728,223167,185828,0.625,0.06205295415868964
610.0,8,9,0,61,23636,601728,262285,238649,0.625,0.03928020633907679
620.0,8,7,0,72,37097,601728,270535,233438,0.5,0.061650779089555414
630.0,8,10,0,68,25778,601728,247664,221886,0.75,0.04283995426504999
640.0,8,8,0,63,28834,601728,266161,237327,0.75,0.04791866092320783
650.0,8,11,0,58,26635,601728,259115,232480,0.625,0.04426418581152946
660.0,8,10,0,46,62035,601728,245063,183028,0.75,0.10309475377579239
670.0,8,5,0,41,6470,601728,161678,155208,0.5,0.010752366517762178
680.0,8,5,0,31,10244,601728,112201,101957,0.5,0.017024303339714955
690.0,8,5,0,26,25726,601728,105700,79974,0.375,0.04275353648159966
700.0,8,5,0,15,22209,601728,66198,43989,0.5,0.03690870293554563
710.0,8,0,0,17,0,601728,62698,62698,0.0,0.0
720.0,8,0,0,14,0,601728,49410,49410,0.0,0.0
730.0,8,1,0,7,2078,601728,16622,14544,0.125,0.003453387577111253
740.0,8,0,0,4,0,601728,3866,3866,0.0,0.0
750.0,8,0,0,2,0,601728,2314,2314,0.0,0.0
760.0,8,0,0,1,0,601728,832,832,0.0,0.0
770.0,8,0,0,1,0,601728,983,983,0.0,0.0
780.0,8,1,0,0,1399,601728,1399,0,0.125,0.002324970750904063
790.0,8,0,0,0,0,601728,0,0,0.0,0.0
800.0,8,0,0,0,0,601728,0,0,0.0,0.0
810.0,8,0,0,0,0,601728,0,0,0.0,0.0
820.0,8,0,0,0,0,601728,0,0,0.0,0.0
830.0,8,0,0,0,0,601728,0,0,0.0,0.0
840.0,8,0,0,0,0,601728,0,0,0.0,0.0
850.0,8,1,0,1,1569,601728,2614,1045,0.125,0.0026074904275686026
860.0,8,2,0,20,6574,601728,42835,36261,0.25,0.010925202084662838
870.0,8,4,0,59,8740,601728,155096,146356,0.375,0.014524835141459264
880.0,8,4,0,66,13878,601728,212842,198964,0.5,0.023063576898532227
890.0,8,1,0,71,3281,601728,247435,244154,0.125,0.005452629759625611
900.0,8,7,0,60,40839,601728,255312,214473,0.75,0.06786953573707721
910.0,8,4,0,59,13462,601728,258391,244929,0.5,0.02237223463092959
920.0,8,5,0,54,33042,601728,192332,159290,0.5,0.05491185386088066
930.0,8,7,0,53,32296,601728,206874,174578,0.5,0.05367209104445862
940.0,8,2,0,55,9012,601728,204454,195442,0.25,0.014976866624122526
950.0,8,6,0,44,28900,601728,178299,149399,0.5,0.04802834503297171
960.0,8,3,0,33,6849,601728,128435,121586,0.375,0.011382219208679004
970.0,8,4,0,24,22458,601728,103593,81135,0.25,0.03732251116783663
980.0,8,3,0,18,11449,601728,83591,72142,0.25,0.01902686928313125
990.0,8,1,0,14,10522,601728,67536,57014,0.125,0.017486306105084025
1000.0,8,0,0,11,0,601728,52367,52367,0.0,0.0
1010.0,8,0,0,8,0,601728,45544,45544,0.0,0.0
1020.0,8,0,0,4,0,601728,19316,19316,0.0,0.0
1030.0,8,0,0,4,0,601728,19316,19316,0.0,0.0
1040.0,8,0,0,3,0,601728,16209,16209,0.0,0.0
1050.0,8,0,0,1,0,601728,3207,3207,0.0,0.0
1060.0,8,0,0,1,0,601728,3207,3207,0.0,0.0
1070.0,8,0,0,1,0,601728,3207,3207,0.0,0.0
1080.0,8,1,0,1,5538,601728,5838,300,0.125,0.009203493937460115
1090.0,8,1,0,12,7477,601728,36867,29390,0.125,0.012425880131886833
1100.0,8,5,0,18,14129,601728,56446,42317,0.375,0.023480708891725165
1110.0,8,5,0,27,21362,601728,74129,52767,0.375,0.035501090193575835
1120.0,8,1,0,34,3640,601728,95425,91785,0.125,0.00604924484152308
1130.0,8,2,0,30,2534,601728,83652,81118,0.25,0.004211205062752606
1140.0,8,4,0,38,9965,601728,124062,114097,0.5,0.016560638693894916
1150.0,8,3,0,40,26457,601728,130300,103843,0.375,0.04396837109125718
1160.0,8,2,0,35,2811,601728,134294,131483,0.25,0.0046715459476707084
1170.0,8,5,0,26,15096,601728,120106,105010,0.375,0.025087747287811105
1180.0,8,4,0,25,39027,601728,127060,88033,0.5,0.06485820835992342
1190.0,8,7,0,29,56910,601728,146114,89204,0.75,0.094577616464582
1200.0,8,7,0,36,27007,601728,118614,91607,0.5,0.04488240533928951
