t,replicas,running,queued,parked,kv_used,kv_capacity,cache_resident,parked_cached,gpu_util,kv_util
310.0,8,3,0,39,26637,601728,211950,185313,0.25,0.0442675095724314
320.0,8,1,0,38,1406,601728,202691,201285,0.125,0.0023366039140608383
330.0,8,2,0,35,8524,601728,210135,201611,0.125,0.014165868964050202
340.0,8,3,0,32,17590,601728,222401,204811,0.375,0.029232477132524994
350.0,8,9,0,25,61960,601728,224394,162434,0.625,0.1029701127419698
360.0,8,3,0,26,12393,601728,198192,185799,0.375,0.020595684428844928
370.0,8,1,0,28,24470,601728,208687,184217,0.125,0.040666214635184
380.0,8,2,0,21,9207,601728,166363,157156,0.25,0.015300933312061263
390.0,8,5,0,16,40248,601728,147579,107331,0.625,0.0668873643905552
400.0,8,3,0,15,14087,601728,114854,100767,0.25,0.023410909912784515
410.0,8,4,0,11,44798,601728,108636,63838,0.375,0.07444892044245906
420.0,8,1,0,11,10543,601728,64439,53896,0.125,0.01752120559455435
430.0,8,0,0,13,0,601728,50353,50353,0.0,0.0
440.0,8,1,0,11,1211,601728,41695,40484,0.125,0.0020125372261221015
450.0,8,0,0,9,0,601728,42711,42711,0.0,0.0
460.0,8,0,0,9,0,601728,44428,44428,0.0,0.0
470.0,8,0,0,6,0,601728,20454,20454,0.0,0.0
480.0,8,0,0,6,0,601728,22037,22037,0.0,0.0
490.0,8,2,0,3,9376,601728,15190,5814,0.25,0.015581791108274835
500.0,8,1,0,4,7674,601728,16090,8416,0.125,0.012753270580727505
510.0,8,0,0,3,0,601728,4355,4355,0.0,0.0
520.0,8,1,0,3,1865,601728,6278,4413,0.125,0.003099407041055095
530.0,8,0,0,5,0,601728,8491,8491,0.0,0.0
540.0,8,0,0,5,0,601728,9263,9263,0.0,0.0
550.0,8,2,0,3,5483,601728,11201,5718,0.25,0.009112090512656882
560.0,8,0,0,6,0,601728,11382,11382,0.0,0.0
570.0,8,1,0,10,1620,601728,25448,23828,0.125,0.002692246330567964
580.0,8,3,0,22,14804,601728,70472,55668,0.25,0.024602478196128482
590.0,8,4,0,29,31117,601728,105426,74309,0.5,0.0517127339927675
600.0,8,1,0,31,2140,601728,118432,116292,0.125,0.0035564241650712612
610.0,8,6,0,32,24970,601728,140841,115871,0.625,0.04149715486066794
620.0,8,2,0,44,13513,601728,164535,151022,0.25,0.022456990533928953
630.0,8,7,0,46,54394,601728,206924,152530,0.75,0.09039632524994683
640.0,8,3,0,51,9549,601728,223410,213861,0.375,0.015869296426292277
650.0,8,7,0,49,35268,601728,251283,216015,0.5,0.058611199744735165
660.0,8,8,0,48,61204,601728,278934,217730,0.5,0.10171373112103807
670.0,8,9,0,48,21904,601728,292003,270099,0.875,0.03640182939800043
680.0,8,6,0,50,34918,601728,305083,270165,0.75,0.0580295415868964
690.0,8,6,0,45,54152,601728,315641,261489,0.5,0.0899941501808126
700.0,8,2,0,45,5555,601728,287862,282307,0.25,0.009231745905126569
710.0,8,3,0,39,22486,601728,227773,205287,0.375,0.03736904382046373
720.0,8,3,0,34,21143,601728,224044,202901,0.375,0.03513713837481387
730.0,8,1,0,29,5411,601728,179574,174163,0.125,0.008992435120187194
740.0,8,2,0,22,27029,601728,146705,119676,0.25,0.044918966709210806
750.0,8,4,0,18,64689,601728,155460,90771,0.375,0.10750538449266113
760.0,8,2,0,18,18567,601728,125969,107402,0.25,0.03085613433312061
