trial,mode,rep,total_neighbours,admitted_before_probe,deferred_until_after_probe,admission_limit,target_ctx_tokens,neighbour_ctx_tokens,miss_ttft_s,hit_ttft_s,probe_ttft_s,survival_score,retained,pressure_before_probe_s,deferred_drain_s,neighbours_completed,goodput
0,uncontrolled,1,24,24,0,8,16000,4000,3.8519687317311764,0.1379808932542801,3.6958857011049986,0.042025724750403955,False,17.992025120183825,1.4193356037139893e-06,24,1.0
1,protected,0,24,8,16,8,16000,4000,3.7048166673630476,0.13547158241271973,0.12141169235110283,1.0,True,6.062368977814913,12.139385996386409,24,1.0
2,uncontrolled,2,24,24,0,8,16000,4000,3.7594886887818575,0.1484275534749031,3.746387107297778,0.003628180469164412,False,18.29629764892161,3.5427510738372803e-06,24,1.0
3,protected,1,24,8,16,8,16000,4000,3.768883666023612,0.14515099115669727,0.12549911998212337,1.0,True,6.138810871168971,12.256552372127771,24,1.0
4,uncontrolled,0,24,24,0,8,16000,4000,3.796218266710639,0.15290207974612713,3.762645523995161,0.009214885832747231,False,18.399770639836788,1.6279518604278564e-06,24,1.0
5,protected,2,24,8,16,8,16000,4000,3.7863526344299316,0.14064053259789944,0.12655671499669552,1.0,True,6.15790817886591,12.283576248213649,24,1.0
