trial,tau_target_s,neighbours,rep,target_ctx_tokens,neighbour_ctx_tokens,miss_ttft_s,hit_ttft_s,probe_ttft_s,pressure_s,park_actual_s,survival_score,retained,kv_after_hit,kv_before_probe,running_before_probe,waiting_before_probe
0,8.0,8,0,16000,4000,3.754219688475132,0.1321850512176752,0.13091100938618183,6.016832178458571,8.000085059553385,1.0,True,0.0,0.0,0.0,0.0
1,32.0,0,1,16000,4000,3.7115070540457964,0.14640324376523495,0.1554769054055214,1.080334186553955e-06,32.00008923560381,0.9974548674812439,True,0.0,0.0,0.0,0.0
2,0.0,24,2,16000,4000,3.7131017446517944,0.147352896630764,3.7302437778562307,18.073249941691756,18.073253786191344,0.0,False,0.0,0.0,0.0,0.0
3,8.0,0,0,16000,4000,3.734375149011612,0.14247028343379498,0.1544022522866726,7.469207048416138e-07,8.000074399635196,0.9966780944096753,True,0.0,0.0,0.0,0.0
4,0.0,16,1,16000,4000,3.7487450931221247,0.13551240228116512,1.416622256860137,12.17337073199451,12.173375280573964,0.6454394266313358,True,0.0,0.0,0.0,0.0
5,32.0,24,1,16000,4000,3.759126538410783,0.14860143698751926,3.7211799062788486,18.385085398331285,32.000084364786744,0.010510003688099456,False,0.0,0.0,0.0,0.0
6,0.0,16,2,16000,4000,3.7346726059913635,0.14177346602082253,1.4212807342410088,12.225760743021965,12.225763771682978,0.6438788793189788,True,0.0,0.0,0.0,0.0
7,8.0,0,1,16000,4000,3.7795788254588842,0.14834942109882832,0.1558073926717043,9.5367431640625e-07,8.000086130574346,0.9979461579695513,True,0.0,0.0,0.0,0.0
8,8.0,16,0,16000,4000,3.7477720379829407,0.15686374343931675,1.4194503873586655,12.211958929896355,12.211962889879942,0.6483935148558804,True,0.0,0.0,0.0,0.0
9,32.0,24,0,16000,4000,3.7635899744927883,0.13831103965640068,3.7345320489257574,18.436483999714255,32.0000567920506,0.008015362704316246,False,0.0,0.0,0.0,0.0
10,32.0,8,1,16000,4000,3.73665720410645,0.14389603585004807,0.13730358518660069,6.128676129505038,32.00008628331125,1.0,True,0.0,0.0,0.0,0.0
11,32.0,16,0,16000,4000,3.720270350575447,0.14660117775201797,1.4196672607213259,12.110069742426276,32.00005728006363,0.643764987355138,True,0.0,0.0,0.0,0.0
12,8.0,16,2,16000,4000,3.7171607557684183,0.14252603612840176,1.4117524456232786,12.163862366229296,12.163866149261594,0.6449353545073008,True,0.0,0.0,0.0,0.0
13,0.0,8,2,16000,4000,3.759717233479023,0.148036640137434,0.1262591890990734,6.114484200254083,6.114487258717418,1.0,True,0.0,0.0,0.0,0.0
14,0.0,0,0,16000,4000,3.7638476099818945,0.1450947392731905,0.14757869578897953,6.94766640663147e-07,3.7085264921188354e-06,0.9993135876904182,True,0.0,0.0,0.0,0.0
15,32.0,24,2,16000,4000,3.7718301974236965,0.14743239991366863,3.71467593498528,18.376087429001927,32.0000851303339,0.015769312760779634,False,0.0,0.0,0.0,0.0
16,8.0,4,1,16000,4000,3.7354745771735907,0.13522393256425858,0.13943636789917946,3.0636690258979797,8.000086454674602,0.9988299605358788,True,0.0,0.0,0.0,0.0
17,0.0,24,0,16000,4000,3.756572410464287,0.13774737156927586,3.745482809841633,18.286861991509795,18.286865759640932,0.0030644202202270913,False,0.0,0.0,0.0,0.0
18,32.0,8,0,16000,4000,3.7689830884337425,0.1480666622519493,0.13999301008880138,6.152509897947311,32.000083204358816,1.0,True,0.0,0.0,0.0,0.0
19,8.0,8,1,16000,4000,3.724070768803358,0.1478729397058487,0.12920907884836197,6.056690037250519,8.000057116150856,1.0,True,0.0,0.0,0.0,0.0
20,8.0,24,0,16000,4000,3.743324665352702,0.14682560227811337,3.7467027697712183,18.311261624097824,18.31126520782709,0.0,False,0.0,0.0,0.0,0.0
21,32.0,4,2,16000,4000,3.7624516393989325,0.13435939699411392,0.13963512517511845,3.0973173324018717,32.00008534453809,0.9985458671311214,True,0.0,0.0,0.0,0.0
22,8.0,4,0,16000,4000,3.7344901356846094,0.13670065067708492,0.15171738900244236,3.0352653935551643,8.000089723616838,0.995826120903423,True,0.0,0.0,0.0,0.0
23,0.0,0,1,16000,4000,3.731332052499056,0.13064017333090305,0.13250084221363068,8.009374141693115e-07,3.876164555549622e-06,0.9994832468466707,True,0.0,0.0,0.0,0.0
24,8.0,24,2,16000,4000,3.7321542017161846,0.1373475007712841,3.740998823195696,18.30635916814208,18.306363394483924,0.0,False,0.0,0.0,0.0,0.0
25,8.0,0,2,16000,4000,3.764421137049794,0.14829079806804657,0.1512206234037876,8.549541234970093e-07,8.000085378065705,0.9991897898966313,True,0.0,0.0,0.0,0.0
26,8.0,24,1,16000,4000,3.742983143776655,0.13703106343746185,3.7541292402893305,18.303430940955877,18.30343489907682,0.0,False,0.0,0.0,0.0,0.0
27,0.0,8,1,16000,4000,3.7746857330203056,0.13399412110447884,0.12055522948503494,6.162563923746347,6.162567807361484,1.0,True,0.0,0.0,0.0,0.0
28,32.0,8,2,16000,4000,3.7812244091182947,0.1437359731644392,0.1433097254484892,6.164432065561414,32.00008727237582,1.0,True,0.0,0.0,0.0,0.0
29,32.0,0,0,16000,4000,3.7214719653129578,0.10961995273828506,0.17751839198172092,7.636845111846924e-07,32.00008364953101,0.9812012122847096,True,0.0,0.0,0.0,0.0
30,32.0,4,0,16000,4000,3.715265678241849,0.13141655921936035,0.1552950907498598,3.02693872153759,32.00007167086005,0.9933371828061187,True,0.0,0.0,0.0,0.0
31,0.0,4,2,16000,4000,3.713987335562706,0.14129890501499176,0.14607548341155052,3.028412640094757,3.028415933251381,0.9986630296793537,True,0.0,0.0,0.0,0.0
32,0.0,0,2,16000,4000,3.7176545411348343,0.13693619519472122,0.14964516088366508,8.940696716308594e-07,4.179775714874268e-06,0.9964507217655492,True,0.0,0.0,0.0,0.0
33,0.0,24,1,16000,4000,3.726197587326169,0.1492150817066431,3.7215601466596127,18.174752729013562,18.17475643567741,0.0012964672483778792,False,0.0,0.0,0.0,0.0
34,32.0,0,2,16000,4000,3.7390624172985554,0.13283299282193184,0.15044549480080605,8.419156074523926e-07,32.000087041407824,0.9951160894369802,True,0.0,0.0,0.0,0.0
35,32.0,16,1,16000,4000,3.710323493927717,0.1373181752860546,1.4187065437436104,12.072691943496466,32.00007671304047,0.6413695882924975,True,0.0,0.0,0.0,0.0
36,8.0,8,2,16000,4000,3.699820699170232,0.13599813915789127,0.1239517331123352,6.050646539777517,8.000076843425632,1.0,True,0.0,0.0,0.0,0.0
37,0.0,8,0,16000,4000,3.7368369325995445,0.14140217378735542,0.11843165941536427,6.090361151844263,6.09036492370069,1.0,True,0.0,0.0,0.0,0.0
38,32.0,4,1,16000,4000,3.7398636862635612,0.1431440208107233,0.15540000051259995,3.065539140254259,32.00008648633957,0.996592456226267,True,0.0,0.0,0.0,0.0
39,0.0,4,1,16000,4000,3.7315061148256063,0.14318657107651234,0.1479271687567234,3.033435970544815,3.0334397684782743,0.9986788808459187,True,0.0,0.0,0.0,0.0
40,0.0,4,0,16000,4000,3.727803260087967,0.13970208540558815,0.14827679470181465,3.0409754514694214,3.040979076176882,0.9976102375939871,True,0.0,0.0,0.0,0.0
41,32.0,16,2,16000,4000,3.7552011366933584,0.14946988597512245,1.4196218810975552,12.185690727084875,32.00008572638035,0.6477408029593367,True,0.0,0.0,0.0,0.0
42,8.0,16,1,16000,4000,3.7119479943066835,0.14326677098870277,1.4102952927350998,12.140027429908514,12.140030562877655,0.6449588958891718,True,0.0,0.0,0.0,0.0
43,0.0,16,0,16000,4000,3.73988207988441,0.14120399579405785,1.42083003744483,12.210598891600966,12.21060249209404,0.644417752366359,True,0.0,0.0,0.0,0.0
44,8.0,4,2,16000,4000,3.7562663685530424,0.13740401156246662,0.14630973897874355,3.083952136337757,8.000083569437265,0.99753908092164,True,0.0,0.0,0.0,0.0
