ctx_tokens,rep,ttft_miss_s,ttft_hit_s,recompute_penalty_s,speedup
1000,0,0.21629094704985619,0.052633993327617645,0.16365695372223854,4.109339485293545
1000,1,0.20281042717397213,0.0513311643153429,0.15147926285862923,3.9510194221983004
1000,2,0.19464186765253544,0.05424501374363899,0.14039685390889645,3.588198328650253
2000,0,0.3801928274333477,0.0584842786192894,0.3217085488140583,6.500769718102529
2000,1,0.37900321930646896,0.06305365078151226,0.3159495685249567,6.010805315932558
2000,2,0.3799851443618536,0.058058058843016624,0.321927085518837,6.54491644974381
4000,0,0.7750746943056583,0.07273605465888977,0.7023386396467686,10.655990319251238
4000,1,0.7735794186592102,0.0723347757011652,0.701244642958045,10.694433087828722
4000,2,0.7790688425302505,0.06597365625202656,0.713095186278224,11.80878682172961
8000,0,1.6394822727888823,0.09986484237015247,1.5396174304187298,16.41701157162082
8000,1,1.6471084915101528,0.0984698161482811,1.5486386753618717,16.727039370418332
8000,2,1.6483071949332952,0.10250010341405869,1.5458070915192366,16.081029579792766
16000,0,3.7199898306280375,0.13868962042033672,3.5813002102077007,26.822409776258624
16000,1,3.7070763297379017,0.13692318834364414,3.5701531413942575,27.074130938537856
16000,2,3.7305307928472757,0.1465781144797802,3.5839526783674955,25.45080352607405
32000,0,9.166237564757466,0.21465148404240608,8.95158608071506,42.70288465812146
32000,1,9.205385321751237,0.21627949550747871,8.989105826243758,42.56245050022749
32000,2,9.220503404736519,0.21090451627969742,9.009598888456821,43.71885233841303
